regiao;idade;area;sexo;cor.ou.raca;escolaridade;escolaridadepai;escolaridademae;rendachefedefamiliaultimomes;renda.total.de.todos.os.moradores;numero.de.moradores.no.domicilio;no.ultimo.mes.alguma.pessoa.deste.domicilio.recebeu.rendimentos.do.bolsa.familia;religiao;mulheres.que.usam.roupas.que.mostram.o.corpo.merecem.ser.atacadas;as.mulatas.sao.mais.fogosas.do.que.as.mulheres.brancas;da.pra.entender.que.um.homem.que.cresceu.em.uma.familia.violenta.agrida.sua.mulher;os.homens.devem.ser.a.cabeca.do.lar;casos.de.violencia.dentro.de.casa.devem.ser.discutidos.somente.entre.os.membros.;incomoda.ver.dois.homens,.ou.duas.mulheres,.se.beijando.na.boca.em.publico;se.as.mulheres.soubessem.como.se.comportar,.haveria.menos.estupros;homem.que.bate.na.esposa.tem.que.ir.para.a.cadeia;e.violencia.falar.mentiras.sobre.uma.mulher.para.os.outros;toda.mulher.sonha.em.se.casar;o.que.acontece.com.o.casal.em.casa.nao.interessa.aos.outros;quando.ha.violencia,.os.casais.devem.se.separar;casais.de.pessoas.do.mesmo.sexo.devem.ter.os.mesmos.direitos.dos.outros.casais;da.pra.entender.que.um.homem.rasgue.ou.quebre.as.coisas.da.mulher.se.ficou.nervoso;um.homem.pode.xingar.e.gritar.com.sua.propria.mulher;e.da.natureza.do.homem.ser.violento;em.briga.de.marido.e.mulher,.nao.se.mete.a.colher;a.roupa.suja.deve.ser.lavada.em.casa;uma.mulher.so.se.sente.realizada.quando.tem.filhos;a.mulher.casada.deve.satisfazer.o.marido.na.cama,.mesmo.quando.nao.tem.vontade;piada.de.preto.e.so.brincadeira,.nao.e.racismo;um.casal.de.dois.homens.vive.um.amor.tao.bonito.quanto.entre.um.homem.e.uma.mulher;mulher.que.e.agredida.e.continua.com.o.parceiro.gosta.de.apanhar;casamento.de.homem.com.homem.ou.de.mulher.com.mulher.deve.ser.proibido;a.mulher.que.apanha.em.casa.deve.ficar.quieta.para.nao.prejudicar.os.filhos;a.questao.da.violencia.contra.as.mulheres.recebe.mais.importancia.do.que.merece;tem.mulher.que.e.pra.casar,.tem.mulher.que.e.pra.cama
NORDESTE;39;urbano;masculino;parda;primeira serie medio;analfabeto ou sem instrucao;quinta serie fundamental;678;1800;2;2;catolica;concorda total;concorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total
SUL;47;metropolitano;feminino;branca;superior completo;primeira serie fundamental;primeira serie fundamental;2000;4000;4;2;catolica;discorda parcial;discorda parcial;concorda total;discorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;concorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda parcial;discorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda parcial;discorda parcial;discorda parcial;discorda parcial
NORDESTE;42;urbano;masculino;parda;cursou superior sem concluir;oitava serie fundamental incompleta;medio completo;1000;2500;4;2;espirita;discorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda parcial;discorda total;concorda total;concorda parcial;discorda total;concorda total;discorda total;discorda total;concorda total;discorda parcial;discorda total;discorda total;concorda total;discorda total;concorda total;concorda parcial;discorda parcial;discorda parcial;discorda total
NORTE;33;urbano;feminino;parda;quarta serie fundamental completa;terceira serie fundamental;terceira serie fundamental;678;678;6;2;catolica;concorda total;neutro;concorda parcial;concorda total;concorda parcial;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;ns;concorda parcial;concorda total;discorda total;discorda parcial;concorda total
SUL;56;metropolitano;feminino;branca;quarta serie fundamental completa;primeira serie fundamental;primeira serie fundamental;678;2500;4;2;catolica;concorda parcial;discorda total;discorda total;discorda parcial;discorda parcial;discorda total;concorda parcial;concorda total;concorda total;discorda total;concorda parcial;discorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda total;discorda parcial;discorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda total;discorda parcial
SUL;36;metropolitano;feminino;parda;medio completo;medio completo;cursou superior sem concluir;1600;2600;5;2;catolica;discorda total;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;discorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total
SUL;29;metropolitano;masculino;branca;segunda serie medio;medio completo;medio completo;900;1800;4;2;catolica;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda parcial;discorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total
NORDESTE;33;urbano;feminino;branca;quinta serie fundamental;nao conheceu;analfabeto ou sem instrucao;678;1000;5;1;catolica;concorda total;ns;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;neutro;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;ns;concorda total;discorda total;discorda total;discorda total;concorda total
SUL;19;metropolitano;feminino;preta;setima serie fundamental;primeira serie fundamental;primeira serie fundamental;678;1500;6;2;catolica;discorda total;concorda parcial;discorda parcial;concorda parcial;concorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;discorda total;discorda parcial;concorda parcial;concorda total
NORTE;23;urbano;feminino;parda;fundamental completa;segunda serie fundamental;segunda serie fundamental;800;800;2;1;catolica;discorda total;concorda total;discorda total;concorda total;concorda parcial;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda parcial;concorda parcial
NORDESTE;29;urbano;feminino;parda;medio completo;cursou superior sem concluir;terceira serie medio incompleto;678;1200;4;2;catolica;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial;discorda total;discorda total;concorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;concorda total;discorda total;concorda total;discorda total;discorda total;discorda total;concorda total;discorda parcial;concorda total;discorda total;discorda total;concorda total
SUL;59;metropolitano;feminino;branca;primeira serie medio;analfabeto ou sem instrucao;analfabeto ou sem instrucao;;1500;4;2;evangelica;concorda total;neutro;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;discorda total;discorda parcial;concorda total;discorda total;discorda total;discorda total
SUL;56;metropolitano;feminino;branca;quinta serie fundamental;nao sabe;nao sabe;678;1000;3;2;catolica;concorda parcial;discorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda total;discorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;concorda total
NORDESTE;50;urbano;feminino;branca;medio completo;medio completo;medio completo;700;700;1;1;evangelica;concorda total;discorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;concorda parcial;discorda total;concorda total;discorda total;discorda total;discorda total;ns
NORDESTE;34;urbano;feminino;branca;analfabeto ou sem instrucao;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;678;2;2;catolica;concorda total;discorda total;discorda total;discorda parcial;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;discorda parcial;discorda total;concorda total;discorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;discorda parcial;discorda total;discorda total
NORTE;29;urbano;masculino;parda;setima serie fundamental;primeira serie fundamental;analfabeto ou sem instrucao;500;500;3;2;catolica;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;concorda total;concorda total;discorda total;discorda parcial;concorda parcial
SUL;16;metropolitano;masculino;branca;quarta serie fundamental completa;nao sabe;nao sabe;;;6;2;outras;concorda parcial;concorda parcial;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;neutro;neutro;neutro;discorda parcial;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;concorda total
SUL;30;metropolitano;feminino;branca;setima serie fundamental;segunda serie fundamental;fundamental completa;900;1900;5;1;catolica;discorda total;ns;concorda total;discorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda total;discorda parcial;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;concorda total;concorda total;discorda total;discorda total;concorda parcial;discorda total
NORDESTE;34;urbano;feminino;parda;medio completo;nao sabe;nao sabe;1200;1200;4;2;catolica;concorda parcial;ns;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total
SUL;41;metropolitano;masculino;preta;superior completo;quarta serie fundamental completa;terceira serie fundamental;4000;4000;2;2;evangelica;discorda total;discorda total;discorda total;concorda total;discorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;discorda parcial;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda parcial;ns;discorda total;concorda total;discorda total;discorda total;discorda total
NORDESTE;52;urbano;masculino;parda;primeira serie medio;analfabeto ou sem instrucao;primeira serie fundamental;1000;1000;4;2;evangelica;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;concorda parcial;concorda total;discorda total;concorda parcial;concorda parcial;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda parcial
SUDESTE;60;urbano;feminino;preta;primeira serie medio;primeira serie fundamental;quarta serie fundamental incompleta;1300;2300;4;2;evangelica;concorda parcial;discorda parcial;discorda total;discorda parcial;neutro;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda parcial;concorda parcial;concorda parcial;concorda total;discorda total;discorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda total;discorda total;discorda total;neutro;discorda parcial;concorda parcial;discorda parcial;concorda parcial
NORTE;41;urbano;masculino;parda;cursou superior sem concluir;quarta serie fundamental incompleta;quarta serie fundamental incompleta;1356;2200;5;1;evangelica;concorda parcial;neutro;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;concorda total;discorda total;discorda parcial;neutro
SUDESTE;41;urbano;feminino;parda;primeira serie medio;terceira serie fundamental;quarta serie fundamental incompleta;1200;3500;3;2;espirita;discorda parcial;discorda total;discorda total;concorda parcial;discorda total;discorda total;concorda parcial;discorda total;neutro;concorda parcial;discorda parcial;concorda parcial;discorda parcial;discorda total;concorda total;neutro;discorda parcial;discorda total;discorda total;discorda total;discorda parcial;discorda total;neutro;discorda parcial;concorda parcial;discorda parcial;concorda parcial
NORDESTE;28;urbano;masculino;branca;superior completo;medio completo;fundamental completa;4000;7000;4;2;catolica;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total
NORDESTE;34;urbano;feminino;parda;medio completo;quarta serie fundamental incompleta;quarta serie fundamental incompleta;678;3000;3;2;evangelica;discorda total;discorda total;concorda total;discorda total;discorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total
NORTE;28;urbano;feminino;parda;terceira serie medio incompleto;nao sabe;quarta serie fundamental completa;450;450;5;1;catolica;discorda total;concorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda parcial;discorda total
SUDESTE;27;urbano;masculino;preta;quinta serie fundamental;segunda serie fundamental;terceira serie fundamental;2000;2500;3;2;catolica;discorda total;concorda parcial;discorda total;discorda total;concorda total;discorda total;concorda total;concorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda parcial;neutro;concorda parcial;discorda total;concorda total;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;discorda total;discorda parcial;discorda total;discorda parcial;concorda total
NORDESTE;53;urbano;feminino;parda;quinta serie fundamental;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;2500;4;2;catolica;neutro;concorda parcial;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;concorda total;discorda total;concorda total;discorda total;concorda total
SUL;77;metropolitano;masculino;branca;quarta serie fundamental completa;primeira serie fundamental;primeira serie fundamental;624;624;3;2;catolica;concorda total;ns;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total;ns;concorda total;concorda total;discorda total;discorda total;concorda total
SUL;44;metropolitano;masculino;branca;fundamental completa;quarta serie fundamental incompleta;terceira serie fundamental;;1300;3;2;catolica;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total
SUL;37;metropolitano;masculino;branca;quinta serie fundamental;terceira serie fundamental;segunda serie fundamental;620;1200;8;2;afrobrasileiras;concorda total;ns;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total
SUL;72;metropolitano;masculino;branca;quarta serie fundamental incompleta;segunda serie fundamental;segunda serie fundamental;2200;2700;3;2;catolica;discorda total;ns;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total
SUDESTE;75;urbano;masculino;branca;setima serie fundamental;analfabeto ou sem instrucao;analfabeto ou sem instrucao;800;800;1;2;evangelica;concorda total;concorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda parcial;discorda total;concorda parcial;discorda parcial;discorda total;neutro;discorda total;discorda parcial;neutro;discorda total;concorda parcial;discorda total;concorda total;discorda parcial;discorda total;discorda total;neutro;concorda parcial
NORTE;54;urbano;feminino;parda;quarta serie fundamental incompleta;analfabeto ou sem instrucao;analfabeto ou sem instrucao;318;318;6;1;catolica;discorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda parcial;discorda total
SUL;80;metropolitano;masculino;branca;segunda serie fundamental;primeira serie fundamental;analfabeto ou sem instrucao;624;624;3;2;catolica;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;ns;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total
NORDESTE;47;urbano;masculino;preta;medio completo;quarta serie fundamental completa;fundamental completa;1500;4500;5;2;espirita;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;ns;concorda total;discorda total;discorda total;concorda total;discorda total
SUL;56;metropolitano;masculino;branca;analfabeto ou sem instrucao;cursou superior sem concluir;quinta serie fundamental;1500;1800;4;2;catolica;discorda total;ns;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda parcial;ns;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total
SUL;47;metropolitano;feminino;branca;primeira serie medio;quarta serie fundamental incompleta;terceira serie fundamental;800;800;3;2;catolica;concorda total;ns;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total
SUL;52;metropolitano;masculino;branca;sexta serie fundamental;primeira serie fundamental;primeira serie fundamental;1100;1100;1;2;evangelica;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;discorda total;discorda total
SUL;53;metropolitano;masculino;preta;quinta serie fundamental;segunda serie fundamental;segunda serie fundamental;670;2000;8;2;catolica;discorda total;concorda parcial;discorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda total;discorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;concorda total;concorda parcial;discorda total;concorda parcial
NORDESTE;68;urbano;feminino;preta;quarta serie fundamental completa;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;1200;4;1;catolica;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;concorda total;concorda total;concorda total;concorda total
SUL;35;metropolitano;feminino;branca;medio completo;segunda serie fundamental;primeira serie fundamental;800;1500;3;2;afrobrasileiras;discorda total;concorda parcial;discorda total;discorda total;discorda total;discorda parcial;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;concorda parcial;discorda total;concorda parcial;neutro;discorda total;discorda total
SUDESTE;37;urbano;feminino;preta;primeira serie medio;primeira serie fundamental;quarta serie fundamental incompleta;900;1400;3;2;espirita;concorda parcial;discorda total;discorda parcial;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda total;discorda parcial;concorda total;concorda total;concorda total;discorda total;neutro;concorda parcial;discorda total;concorda parcial;discorda total;concorda total;discorda parcial;discorda total;discorda parcial;discorda total;discorda total;concorda parcial;concorda parcial
NORDESTE;17;urbano;masculino;parda;fundamental completa;segunda serie medio;quinta serie fundamental;700;;4;1;catolica;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total
SUL;19;metropolitano;feminino;branca;medio completo;quinta serie fundamental;sexta serie fundamental;;1000;3;2;catolica;discorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total
SUDESTE;29;metropolitano;feminino;parda;medio completo;analfabeto ou sem instrucao;quarta serie fundamental completa;640;640;3;2;catolica;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total
SUDESTE;65;urbano;masculino;preta;segunda serie fundamental;analfabeto ou sem instrucao;analfabeto ou sem instrucao;700;700;1;2;catolica;concorda parcial;discorda total;neutro;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda total;discorda total;discorda parcial;concorda total;discorda total;discorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;discorda parcial;concorda parcial
SUDESTE;25;urbano;feminino;branca;primeira serie medio;quarta serie fundamental completa;quarta serie fundamental incompleta;1560;1560;4;2;catolica;discorda total;ns;discorda total;concorda total;concorda parcial;concorda total;discorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total
SUL;28;metropolitano;masculino;branca;fundamental completa;segunda serie fundamental;segunda serie fundamental;1200;6000;2;2;sem;discorda total;discorda total;concorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total
NORDESTE;40;urbano;feminino;parda;superior completo;quarta serie fundamental incompleta;medio completo;1000;2000;5;2;evangelica;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;discorda parcial;discorda total;concorda total;concorda parcial;discorda total;discorda total;concorda parcial
NORDESTE;34;urbano;feminino;parda;medio completo;nao sabe;sexta serie fundamental;1500;1500;4;1;catolica;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial;discorda total;concorda total;concorda total;discorda total;concorda parcial;concorda total
SUDESTE;36;urbano;masculino;branca;medio completo;terceira serie fundamental;primeira serie fundamental;1200;1500;3;2;evangelica;discorda parcial;discorda total;neutro;discorda total;discorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda total;neutro;concorda parcial;discorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;neutro;discorda total;discorda total;concorda parcial;discorda total;concorda total;discorda total;discorda parcial;neutro
NORTE;24;urbano;masculino;parda;quinta serie fundamental;nao sabe;analfabeto ou sem instrucao;678;678;5;2;evangelica;discorda total;neutro;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;neutro;discorda total;discorda total;concorda total;discorda total;discorda total;discorda parcial;concorda total
SUDESTE;24;metropolitano;masculino;parda;cursou superior sem concluir;quarta serie fundamental completa;quarta serie fundamental completa;2700;2700;3;2;catolica;discorda total;discorda total;discorda total;concorda parcial;discorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;discorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda total
SUL;77;metropolitano;feminino;parda;sexta serie fundamental;segunda serie fundamental;segunda serie fundamental;1100;2000;2;2;catolica;discorda total;concorda parcial;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total
SUL;35;metropolitano;feminino;branca;medio completo;quinta serie fundamental;analfabeto ou sem instrucao;1200;2000;4;2;catolica;discorda total;concorda parcial;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda parcial;concorda parcial;discorda total;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;discorda total
SUL;48;metropolitano;feminino;branca;fundamental completa;terceira serie fundamental;segunda serie fundamental;700;700;5;2;evangelica;concorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total
NORDESTE;19;urbano;feminino;parda;medio completo;medio completo;medio completo;700;2000;4;1;evangelica;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda parcial;concorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total
NORDESTE;57;urbano;feminino;parda;quarta serie fundamental incompleta;analfabeto ou sem instrucao;analfabeto ou sem instrucao;;678;2;2;evangelica;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total
SUDESTE;62;urbano;masculino;branca;quarta serie fundamental incompleta;analfabeto ou sem instrucao;analfabeto ou sem instrucao;1000;;4;2;catolica;concorda parcial;concorda parcial;discorda total;concorda total;concorda parcial;discorda parcial;concorda parcial;discorda total;concorda parcial;discorda parcial;concorda total;discorda parcial;discorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda parcial;discorda total;concorda parcial
