regiao;idade;area;sexo;cor.ou.raca;escolaridade;escolaridadepai;escolaridademae;rendachefedefamiliaultimomes;renda.total.de.todos.os.moradores;numero.de.moradores.no.domicilio;no.ultimo.mes.alguma.pessoa.deste.domicilio.recebeu.rendimentos.do.bolsa.familia;religiao;mulheres.que.usam.roupas.que.mostram.o.corpo.merecem.ser.atacadas;as.mulatas.sao.mais.fogosas.do.que.as.mulheres.brancas;da.pra.entender.que.um.homem.que.cresceu.em.uma.familia.violenta.agrida.sua.mulher;os.homens.devem.ser.a.cabeca.do.lar;casos.de.violencia.dentro.de.casa.devem.ser.discutidos.somente.entre.os.membros.;incomoda.ver.dois.homens,.ou.duas.mulheres,.se.beijando.na.boca.em.publico;se.as.mulheres.soubessem.como.se.comportar,.haveria.menos.estupros;homem.que.bate.na.esposa.tem.que.ir.para.a.cadeia;e.violencia.falar.mentiras.sobre.uma.mulher.para.os.outros;toda.mulher.sonha.em.se.casar;o.que.acontece.com.o.casal.em.casa.nao.interessa.aos.outros;quando.ha.violencia,.os.casais.devem.se.separar;casais.de.pessoas.do.mesmo.sexo.devem.ter.os.mesmos.direitos.dos.outros.casais;da.pra.entender.que.um.homem.rasgue.ou.quebre.as.coisas.da.mulher.se.ficou.nervoso;um.homem.pode.xingar.e.gritar.com.sua.propria.mulher;e.da.natureza.do.homem.ser.violento;em.briga.de.marido.e.mulher,.nao.se.mete.a.colher;a.roupa.suja.deve.ser.lavada.em.casa;uma.mulher.so.se.sente.realizada.quando.tem.filhos;a.mulher.casada.deve.satisfazer.o.marido.na.cama,.mesmo.quando.nao.tem.vontade;piada.de.preto.e.so.brincadeira,.nao.e.racismo;um.casal.de.dois.homens.vive.um.amor.tao.bonito.quanto.entre.um.homem.e.uma.mulher;mulher.que.e.agredida.e.continua.com.o.parceiro.gosta.de.apanhar;casamento.de.homem.com.homem.ou.de.mulher.com.mulher.deve.ser.proibido;a.mulher.que.apanha.em.casa.deve.ficar.quieta.para.nao.prejudicar.os.filhos;a.questao.da.violencia.contra.as.mulheres.recebe.mais.importancia.do.que.merece;tem.mulher.que.e.pra.casar,.tem.mulher.que.e.pra.cama
NORDESTE;85;urbano;feminino;parda;terceira serie fundamental;analfabeto ou sem instrucao;analfabeto ou sem instrucao;1400;3000;4;2;catolica;concorda parcial;discorda parcial;ns;concorda parcial;concorda parcial;discorda parcial;discorda total;concorda parcial;neutro;concorda total;concorda parcial;neutro;concorda total;discorda total;neutro;neutro;concorda total;concorda parcial;discorda total;neutro;discorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;neutro;concorda parcial
NORDESTE;32;urbano;feminino;parda;medio completo;segunda serie fundamental;terceira serie fundamental;1200;4000;6;2;catolica;discorda total;discorda total;discorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda parcial;concorda parcial;concorda parcial;discorda total;discorda parcial;concorda parcial;neutro;discorda total;concorda total;discorda total;concorda parcial;discorda parcial;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda parcial;discorda total;concorda parcial
NORDESTE;70;urbano;feminino;parda;cursou superior sem concluir;analfabeto ou sem instrucao;analfabeto ou sem instrucao;2000;4000;;2;catolica;neutro;concorda parcial;discorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;discorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;discorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda parcial;discorda parcial;concorda parcial;discorda parcial;concorda parcial
NORDESTE;66;urbano;masculino;parda;medio completo;analfabeto ou sem instrucao;analfabeto ou sem instrucao;2000;2000;3;2;evangelica;discorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda parcial;discorda parcial;concorda total;concorda parcial;discorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;discorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;discorda total;concorda parcial;concorda total;discorda parcial
NORDESTE;56;urbano;feminino;parda;quarta serie fundamental completa;analfabeto ou sem instrucao;analfabeto ou sem instrucao;1340;1800;2;2;catolica;concorda parcial;discorda parcial;discorda total;concorda total;concorda parcial;discorda parcial;discorda parcial;concorda total;discorda parcial;concorda parcial;discorda total;discorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda parcial;concorda parcial;concorda parcial;concorda total;concorda total;discorda parcial;concorda parcial;discorda parcial
NORTE;34;urbano;feminino;parda;fundamental completa;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;;;2;catolica;concorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda total
NORTE;28;urbano;masculino;preta;segunda serie medio;segunda serie fundamental;analfabeto ou sem instrucao;1200;1200;2;1;evangelica;concorda total;ns;concorda parcial;concorda total;concorda total;neutro;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda parcial;discorda parcial;concorda parcial
NORDESTE;54;metropolitano;feminino;parda;medio completo;primeira serie fundamental;primeira serie fundamental;1420;6000;3;2;catolica;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;concorda total;concorda parcial;discorda parcial;discorda parcial;concorda total;concorda parcial
NORTE;22;urbano;feminino;parda;fundamental completa;nao sabe;nao sabe;678;678;6;1;catolica;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;neutro;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;ns
NORTE;23;urbano;feminino;parda;medio completo;quarta serie fundamental completa;fundamental completa;678;750;4;1;evangelica;concorda parcial;ns;discorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda total
